,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
20,0,5,1,2,1,4,4,3,4,2,5,4,3,5,5,1,4,5,1,5,1,2,1,5,0,5,4,5,3,4,0,5,4,0,3,3,0,2,2,0,4,2,3,5,4,4,5,4,4,3,0,0,5,4,5,2,3,5,3,2,5,3,2,2
21,2,3,4,4,2,1,4,0,5,4,3,0,5,4,3,0,5,4,1,4,2,0,2,4,3,0,2,2,0,5,1,1,1,5,5,3,2,4,0,0,1,3,0,5,4,4,0,5,5,5,3,5,0,5,2,4,4,4,3,5,1,5,0,2
22,1,4,3,4,4,4,2,5,2,4,5,4,4,5,4,0,5,0,0,1,2,1,0,2,1,3,5,0,3,2,0,1,2,3,4,3,3,0,2,5,5,5,2,5,1,0,3,0,4,1,5,2,2,2,5,5,5,1,1,0,4,4,5,0
23,4,1,0,3,3,4,1,0,3,4,5,3,1,2,5,5,0,0,1,4,5,0,2,1,2,1,0,5,1,4,1,1,2,4,1,0,1,1,4,5,3,1,5,2,0,4,4,3,0,0,1,2,3,2,3,0,1,5,4,4,0,3,4,2
24,0,1,0,0,5,2,5,5,5,2,3,2,5,1,3,3,4,3,4,4,0,1,5,3,0,1,2,3,4,1,1,5,2,0,2,5,3,0,5,5,5,0,4,0,3,5,2,0,2,1,4,5,5,3,2,5,1,1,4,2,1,0,3,3
25,1,2,0,0,3,4,1,3,3,3,2,0,5,5,0,3,3,0,3,5,0,0,1,0,2,4,0,5,3,2,1,3,0,4,1,3,1,5,5,2,1,1,3,0,4,5,1,1,3,1,0,4,5,4,3,1,1,2,3,1,1,4,2,3
26,1,1,0,3,1,5,4,5,2,3,0,3,1,1,0,2,5,1,3,1,4,1,1,1,1,5,2,3,1,3,0,5,5,5,2,4,4,2,2,5,5,4,0,5,3,3,0,3,1,0,5,1,0,5,1,0,4,5,1,1,3,5,5,5
27,3,3,0,1,1,2,0,1,4,3,1,1,1,0,5,0,0,1,3,3,2,1,3,1,3,1,0,5,1,4,2,4,5,2,2,0,2,2,4,2,2,0,1,4,4,4,4,2,5,1,4,3,2,5,5,0,0,2,1,5,0,1,2,2
28,4,3,1,4,1,0,1,2,1,3,1,0,2,1,2,5,2,1,0,4,0,1,0,0,0,5,2,3,2,0,4,3,2,4,0,5,3,5,2,2,2,2,3,4,2,2,5,1,4,2,5,3,3,3,3,0,5,4,2,0,4,4,5,0
29,2,5,1,2,2,5,1,5,3,4,0,0,3,5,1,2,3,2,4,0,2,4,0,4,3,4,1,5,5,2,2,1,3,2,5,4,3,2,2,4,0,2,2,3,2,2,1,3,0,3,4,5,1,3,0,0,4,5,0,5,0,0,1,2
30,0,0,4,5,5,0,0,4,1,5,5,1,0,2,3,4,4,0,3,1,5,5,5,1,4,1,1,4,1,3,1,0,5,1,1,2,5,1,2,2,4,5,0,0,2,4,1,0,5,5,0,1,1,3,2,1,3,3,3,4,3,3,3,4
31,3,1,0,5,4,5,1,0,3,3,4,1,1,5,5,3,1,3,3,5,4,0,4,5,5,5,2,2,5,1,3,4,4,4,2,4,2,5,2,4,2,4,3,0,4,2,4,1,5,5,3,4,3,0,0,0,3,3,3,3,5,1,4,5
32,0,2,5,1,4,5,3,4,5,2,5,4,5,3,2,4,5,4,4,1,5,2,2,0,3,3,2,1,4,5,4,0,1,5,0,2,0,3,1,3,1,4,5,5,2,1,4,5,0,0,5,0,0,4,4,5,5,1,3,0,4,2,2,3
33,1,0,4,0,1,3,4,4,3,3,4,2,4,2,5,5,5,2,2,4,5,4,4,5,1,1,1,0,3,0,4,0,5,2,2,5,0,4,2,3,1,3,4,4,4,0,5,3,5,2,3,2,3,5,1,0,1,4,3,3,3,0,2,1
34,3,5,0,4,1,3,1,2,4,4,5,1,3,2,3,5,0,2,4,1,3,4,3,0,0,4,5,5,4,4,1,4,2,4,0,2,4,5,2,3,3,5,3,2,4,1,2,4,2,0,5,4,0,5,2,4,3,1,2,0,0,0,3,5
35,5,4,1,3,3,4,3,5,0,5,4,0,0,5,5,2,3,5,1,3,2,1,1,4,4,1,1,5,4,3,2,0,1,2,0,5,5,2,4,3,2,3,1,2,2,5,1,0,4,0,1,5,0,1,5,5,3,1,5,1,1,1,3,4
36,2,0,3,4,3,2,2,2,0,1,5,2,1,5,0,0,1,5,0,1,0,2,5,0,0,2,4,3,2,3,5,3,1,0,2,4,4,3,2,0,0,1,2,5,0,2,3,0,0,1,3,0,3,3,4,2,2,4,5,1,0,5,1,0
37,3,2,5,5,0,3,3,2,1,0,3,5,5,2,0,3,4,4,0,0,2,5,2,3,1,5,1,0,0,2,5,1,4,5,2,2,0,1,0,1,1,2,5,4,2,3,0,1,0,0,1,3,4,5,0,2,2,1,0,3,5,2,4,4
38,4,1,1,0,5,4,1,3,2,5,3,4,1,4,5,5,1,4,5,3,5,5,2,4,1,4,3,5,0,5,2,5,5,1,2,3,2,2,4,5,2,0,2,3,5,2,5,0,4,0,3,2,4,4,4,2,3,0,5,5,4,0,4,4
39,1,1,1,3,3,2,2,4,5,3,0,5,0,3,1,4,2,2,0,3,2,0,4,1,0,1,5,1,3,2,3,0,0,1,5,0,2,0,0,3,0,2,2,2,1,5,1,2,2,5,2,0,4,0,4,2,2,3,0,4,2,4,1,5
40,1,3,0,1,0,4,4,0,0,5,0,2,4,1,0,2,0,1,4,0,2,0,0,1,2,2,4,2,4,4,3,3,2,4,3,0,2,0,3,4,2,3,1,4,0,1,0,3,5,2,1,0,3,0,4,0,5,5,0,5,1,2,3,5
41,1,5,3,2,2,2,3,4,2,4,3,5,3,2,3,5,1,0,0,4,5,3,4,5,3,5,5,3,4,0,1,5,4,5,1,4,5,5,5,2,0,2,5,3,1,3,2,4,0,2,5,5,4,0,3,3,0,0,0,3,0,4,1,4
42,5,2,2,3,3,5,1,5,2,4,0,5,4,1,0,4,5,0,1,2,2,2,3,2,4,3,2,4,5,2,2,3,5,1,3,5,5,3,3,3,1,3,5,1,5,5,4,1,3,2,1,0,2,2,1,5,1,1,5,1,3,3,0,0
43,0,0,0,3,4,4,2,0,5,0,1,5,0,1,2,1,0,2,1,3,5,4,4,0,0,2,0,5,3,4,5,3,3,2,3,5,3,0,3,2,2,0,5,2,5,0,5,5,3,2,5,3,0,4,2,3,3,2,0,1,4,3,3,5
44,5,4,1,3,1,4,2,2,0,3,1,5,4,5,2,1,4,1,4,4,2,0,1,3,4,0,0,1,3,4,5,2,2,3,5,2,1,0,1,4,4,2,3,0,5,3,0,5,0,3,0,4,1,3,5,1,5,0,0,2,2,4,4,2
45,5,0,2,4,5,5,1,4,4,0,2,2,0,1,5,4,2,5,4,5,2,2,1,2,1,5,3,5,3,0,5,4,5,5,0,3,3,0,5,1,1,4,5,0,0,2,5,1,4,5,5,2,2,0,1,2,3,3,0,1,2,3,5,1
46,3,5,1,0,0,5,5,3,5,2,5,1,0,3,2,3,0,3,5,0,4,5,1,2,0,3,4,5,3,3,2,5,1,0,0,1,5,3,5,1,0,0,5,0,5,2,2,3,2,2,3,2,4,5,3,0,3,5,2,5,1,3,4,3
47,4,1,0,5,2,1,5,3,5,1,2,2,2,2,4,2,3,5,1,2,2,4,1,2,5,2,1,4,3,0,2,5,5,0,2,0,2,2,2,1,0,3,2,4,2,2,2,4,1,5,5,0,2,5,4,2,2,4,0,1,0,0,3,5
48,3,4,3,1,0,4,2,3,2,3,2,3,4,2,3,2,4,2,2,4,0,3,1,2,2,0,5,0,1,2,4,0,5,3,5,3,4,5,4,5,5,4,2,4,0,4,1,3,2,3,4,4,5,4,1,5,0,3,1,0,3,4,1,4
49,1,1,4,4,5,3,4,0,0,1,3,5,5,5,5,2,5,3,4,0,2,2,1,0,1,0,4,0,5,4,3,1,0,4,0,5,1,3,1,4,0,2,0,4,1,0,1,2,1,2,4,1,0,3,5,3,4,0,4,2,2,5,5,2
50,0,0,2,2,4,5,5,4,5,5,3,1,3,4,0,1,0,2,2,4,5,1,5,3,0,5,3,3,2,3,0,4,1,0,0,2,2,0,5,3,0,3,4,1,1,0,2,1,1,3,5,4,4,1,1,1,4,1,0,3,0,3,5,4
51,4,1,3,2,1,4,2,2,1,2,5,5,2,2,4,1,0,5,5,3,5,5,3,2,4,1,4,3,5,1,5,0,4,1,1,0,0,4,4,4,1,1,3,5,3,4,5,4,1,1,5,0,4,2,5,4,1,3,0,3,1,0,1,1
52,4,3,0,3,0,5,2,3,3,0,1,2,2,5,3,5,4,5,2,1,4,4,0,2,3,1,3,5,0,2,1,1,2,5,0,2,4,5,1,1,0,5,2,1,5,2,0,0,5,3,1,1,3,2,5,3,1,1,3,5,0,5,4,0
53,0,4,0,5,3,4,1,1,5,3,0,0,3,3,5,4,3,1,0,1,4,5,1,4,2,0,2,4,1,3,1,1,4,4,0,5,0,5,3,5,1,5,3,1,1,1,1,0,0,3,3,1,2,3,4,5,2,2,4,2,5,2,5,2
54,5,2,1,5,5,5,0,0,3,2,1,4,3,0,2,2,1,3,1,4,4,0,2,3,5,1,0,2,1,2,2,1,0,5,2,2,4,5,3,5,5,3,1,2,3,5,2,0,2,1,2,0,5,4,2,5,4,5,5,1,3,3,5,4
55,3,3,2,0,4,1,3,5,3,3,1,0,1,5,3,4,3,5,0,2,5,3,5,5,0,4,1,4,0,0,0,4,2,0,4,4,0,3,5,0,0,2,4,1,5,2,0,1,1,2,0,1,2,2,4,4,0,1,4,3,3,2,1,3
56,4,2,0,5,0,2,5,0,4,2,0,4,4,3,5,2,3,5,1,4,0,2,1,0,4,5,5,1,5,0,3,0,3,4,3,3,5,4,4,2,0,5,0,3,1,4,1,3,0,2,5,3,4,1,2,5,1,0,4,1,0,1,2,3
57,3,0,2,3,1,0,4,0,1,5,1,1,3,1,4,5,4,1,4,2,1,0,4,4,5,5,4,1,2,4,5,3,1,4,2,2,0,5,5,3,0,4,3,5,4,4,5,5,4,5,1,2,5,0,1,2,1,2,4,0,1,3,5,5
58,0,4,3,5,1,5,4,5,4,3,1,5,1,2,3,4,3,0,0,4,0,4,4,2,1,0,5,5,2,5,3,2,1,1,1,3,0,5,3,0,4,0,0,4,2,3,4,1,1,3,5,5,2,2,3,2,1,3,2,5,3,2,2,0
59,1,0,0,3,2,2,5,5,3,3,5,0,3,0,5,5,2,2,5,1,2,0,0,5,3,1,2,0,4,2,2,2,2,4,2,4,3,3,2,5,0,3,3,4,2,0,0,1,2,4,3,1,3,5,4,4,3,3,5,4,1,2,4,0
60,0,5,2,2,2,4,3,1,1,5,0,3,4,0,3,3,5,5,4,0,2,1,2,4,2,4,0,2,4,3,2,5,4,5,1,3,4,0,3,3,3,2,1,5,4,3,2,3,4,1,3,1,1,0,5,1,1,0,3,3,3,2,0,1
61,4,5,2,2,0,1,4,3,3,3,3,1,2,2,3,2,4,5,1,2,3,3,0,0,1,5,0,3,0,1,2,1,3,5,1,5,3,4,0,1,5,2,1,3,1,4,5,3,2,3,1,5,3,4,5,0,2,3,3,2,4,2,5,4
62,4,1,2,2,4,3,4,0,4,1,0,0,1,0,3,3,3,1,1,1,2,3,5,5,4,2,1,3,1,4,3,3,1,3,5,1,3,0,4,5,4,4,2,3,5,3,1,4,3,3,1,0,3,2,4,4,0,3,2,3,0,4,4,2
63,3,2,5,2,2,0,2,4,2,1,2,3,2,3,1,0,5,4,0,1,5,4,3,2,2,2,2,2,1,3,3,0,2,1,2,5,2,4,0,4,2,0,1,0,2,1,1,0,5,4,0,2,3,3,5,3,3,3,2,4,5,1,0,4
64,5,4,5,2,2,0,5,5,0,0,4,1,1,2,0,4,4,5,3,2,5,4,1,1,3,3,1,0,5,0,0,3,3,4,5,5,3,2,1,0,0,1,4,4,4,2,3,5,0,4,3,1,4,5,3,2,0,2,1,0,1,0,0,5
65,1,2,4,4,3,1,5,5,5,0,0,3,1,1,1,4,2,0,3,3,2,4,0,2,2,2,5,4,5,1,3,5,1,0,3,2,4,3,2,4,2,0,5,0,5,1,0,4,2,0,1,4,2,3,1,2,4,4,0,0,3,5,1,4
66,3,1,5,5,5,0,2,0,0,3,5,4,2,4,2,0,0,3,1,5,2,4,3,5,3,1,1,1,0,0,4,5,3,3,3,5,2,1,2,4,2,1,1,2,2,0,2,5,3,1,2,2,4,5,4,5,4,5,1,1,4,4,4,3
67,5,0,0,2,1,2,2,5,5,5,4,1,5,2,5,4,5,2,3,3,5,5,1,0,3,4,2,4,5,2,4,5,3,1,1,2,2,5,0,1,4,3,2,4,3,4,4,5,4,1,1,4,4,1,5,3,1,0,2,4,0,0,0,1
68,2,2,1,0,4,5,3,2,0,4,3,5,0,2,3,0,1,0,4,3,2,0,1,1,2,5,1,0,2,0,3,1,3,4,1,4,3,5,3,5,0,4,1,2,1,5,2,0,4,3,5,1,4,2,1,3,2,1,4,5,2,0,0,4
69,0,3,1,2,4,0,0,4,2,1,5,5,3,2,5,5,4,4,5,3,4,5,4,0,1,3,1,4,5,4,0,0,4,3,1,4,0,4,5,1,1,5,4,5,0,0,2,4,2,5,2,1,1,1,1,5,0,5,5,1,3,5,5,0
70,1,2,0,1,1,4,0,4,5,3,1,4,4,0,4,0,5,2,3,4,2,3,1,1,4,1,3,5,0,3,3,5,2,4,0,3,1,1,0,0,1,4,3,0,3,2,5,4,0,3,3,2,1,3,4,4,4,2,5,2,0,3,0,5
71,0,2,3,3,1,5,4,1,1,5,5,5,5,2,5,3,5,5,2,1,4,0,2,1,2,3,1,1,1,3,0,2,1,0,3,3,1,4,2,2,0,4,1,3,4,0,4,3,2,5,1,4,3,3,2,2,4,3,0,2,4,1,3,4
72,4,0,1,1,4,5,5,4,0,4,5,1,2,0,5,0,2,1,4,3,3,3,0,1,0,3,3,4,2,5,2,2,4,5,1,1,0,1,5,1,3,1,3,2,3,3,3,2,3,0,4,3,0,3,1,2,4,5,5,2,4,4,4,5
73,1,0,1,4,1,1,3,0,3,4,5,0,3,2,4,1,4,1,4,1,2,0,4,4,0,2,5,1,3,3,5,4,1,0,4,1,5,5,4,4,4,0,1,4,3,0,2,2,5,2,1,1,2,5,4,0,5,2,2,3,1,0,2,1
74,4,4,3,4,2,2,2,0,2,2,0,1,2,5,1,5,5,2,4,2,0,1,5,2,5,2,1,2,2,1,0,0,3,2,1,1,0,0,1,3,1,2,4,4,4,4,3,4,3,2,3,5,5,2,4,0,4,3,0,3,3,1,3,0
75,4,1,1,3,3,1,1,4,5,5,2,5,1,0,2,3,4,1,4,3,2,1,0,0,0,0,0,1,2,3,3,2,4,4,5,3,2,5,1,2,2,2,1,1,1,2,5,3,3,1,1,5,5,3,3,4,5,0,5,1,4,3,0,4
76,1,0,2,5,2,4,2,4,0,2,1,5,4,2,0,1,2,5,0,5,3,2,1,1,1,3,5,2,5,3,4,4,0,5,3,0,0,4,5,1,4,1,5,5,0,1,3,1,3,0,3,4,0,0,0,3,3,4,3,4,3,4,5,4
77,5,0,3,4,2,3,2,3,3,5,2,3,2,3,3,5,1,2,4,5,3,4,0,5,5,5,3,5,2,0,0,2,1,0,3,4,5,4,1,1,4,2,3,5,4,0,2,2,3,5,2,4,3,0,5,2,4,2,2,4,2,5,4,3
78,2,1,2,0,2,5,4,1,5,2,1,1,1,1,4,0,3,0,0,4,2,3,2,4,2,1,1,0,4,2,1,5,3,4,2,1,4,0,1,2,4,4,5,5,1,5,5,5,4,0,1,1,5,1,1,1,4,2,2,2,1,2,2,4
79,1,3,4,3,4,4,3,4,2,1,1,0,1,2,3,2,5,4,2,1,4,5,2,3,2,0,1,2,4,0,2,5,0,1,5,5,4,1,5,4,4,5,3,5,5,5,1,5,1,1,1,2,4,5,5,1,4,5,1,2,0,2,3,3
80,1,3,2,1,5,3,4,5,2,4,2,2,4,4,5,5,0,0,2,2,3,0,2,4,2,4,2,1,5,1,0,1,5,4,3,1,5,0,0,1,4,5,2,4,2,2,0,2,0,0,1,1,1,1,3,0,0,2,5,0,0,0,3,1
81,5,5,1,3,4,4,0,0,4,5,0,4,2,1,2,0,2,1,3,0,4,2,0,4,5,0,5,5,2,5,3,4,2,3,2,4,1,1,5,1,0,1,0,5,0,1,4,0,3,5,1,1,4,5,0,1,5,1,3,2,4,3,5,3
82,4,5,2,2,4,2,0,4,1,1,0,0,3,3,0,4,1,0,0,5,4,4,5,2,5,3,1,4,4,4,1,5,5,1,3,3,0,3,2,5,5,0,4,3,5,4,4,2,3,5,5,5,2,3,5,1,4,0,2,0,0,2,2,4
83,1,4,0,0,5,0,0,0,3,5,3,2,2,2,5,1,0,4,5,5,5,2,4,0,3,4,2,4,4,0,5,2,3,0,1,2,5,4,4,5,5,5,5,0,4,3,1,3,0,0,1,5,2,0,2,5,3,4,5,0,5,2,0,0
84,2,1,5,5,3,5,4,5,3,3,3,4,0,0,2,3,4,3,5,5,1,2,5,2,1,4,3,1,4,4,2,4,0,5,2,0,4,2,1,5,4,5,3,2,5,2,1,4,2,1,5,0,1,0,0,4,3,2,0,2,3,5,4,2
85,5,5,5,3,4,5,1,1,5,3,0,3,1,4,5,4,4,5,3,4,3,4,4,2,4,2,5,3,2,4,3,4,2,5,3,4,1,3,3,0,4,2,2,4,2,2,0,5,0,5,2,3,3,5,4,0,0,3,3,5,5,5,1,3
86,2,5,3,5,5,2,5,5,4,5,4,3,1,0,5,1,4,3,3,0,4,4,5,4,1,4,0,5,2,2,5,0,3,4,5,0,2,2,0,0,5,2,4,0,0,3,1,1,5,2,1,5,5,5,1,2,5,1,4,3,1,5,2,3
87,4,1,0,5,5,1,0,1,5,1,1,3,5,5,3,0,4,3,4,1,0,1,3,1,4,1,3,2,1,5,2,5,4,1,5,2,0,1,4,0,1,4,2,5,4,1,0,4,0,5,4,3,1,2,4,3,3,0,2,3,5,1,2,5
88,2,1,3,1,2,4,1,3,1,3,5,3,1,4,2,3,4,5,4,5,5,2,3,4,4,5,5,4,2,4,0,5,3,0,2,1,5,2,5,5,5,0,3,3,5,5,1,2,2,5,2,3,5,0,3,3,0,3,3,5,3,4,5,1
89,1,2,3,3,2,0,0,4,5,4,0,4,2,2,3,0,4,3,3,0,0,0,1,2,5,3,2,1,5,0,2,1,0,0,4,3,1,4,3,2,5,2,1,4,1,3,5,1,4,1,2,4,1,2,2,1,5,0,1,4,4,1,0,0
90,4,1,4,4,0,3,0,0,2,5,0,4,0,1,1,5,1,5,5,0,4,4,5,0,2,2,2,0,2,3,4,4,0,5,1,0,5,2,0,4,3,1,4,1,3,3,2,5,0,0,4,2,4,4,1,0,0,3,5,3,4,3,1,3
91,0,2,4,5,1,3,3,0,2,4,5,4,3,5,4,3,3,5,1,3,5,2,2,2,1,5,2,3,2,5,1,3,3,2,5,3,5,4,0,1,4,5,1,4,1,0,2,5,2,1,3,4,4,4,2,0,4,5,1,4,0,1,0,4
92,0,3,2,4,4,1,2,2,1,4,5,3,3,2,3,5,5,3,5,0,2,5,0,2,3,2,4,0,1,0,3,0,0,4,3,3,1,2,5,0,1,4,2,2,1,1,0,1,2,3,2,0,3,5,2,1,4,1,1,4,4,2,3,2
93,5,3,1,4,3,3,0,2,0,2,5,0,2,1,0,1,0,4,3,0,3,2,2,1,0,5,0,2,2,5,3,1,5,0,3,3,0,0,5,4,4,3,1,3,3,0,1,5,3,3,1,5,5,1,2,3,4,5,2,5,0,3,5,3
94,5,4,3,4,0,4,1,5,3,2,3,4,4,4,1,0,3,5,2,3,1,0,5,4,0,4,4,3,1,5,2,1,0,2,4,5,4,2,1,4,4,2,0,1,0,2,1,3,5,0,4,5,1,5,2,1,4,1,0,3,3,1,4,3
95,0,2,3,2,3,2,3,5,5,2,0,5,4,0,1,1,3,4,2,0,1,2,3,5,5,3,4,3,0,5,2,5,1,2,2,3,0,5,0,1,1,1,0,1,1,5,3,0,4,2,4,4,0,1,3,0,5,4,3,3,1,3,4,5
96,2,5,3,2,3,0,5,3,4,3,0,5,2,5,5,0,3,2,0,4,4,5,4,5,0,0,1,5,0,1,4,2,4,3,3,4,5,3,1,2,4,2,2,2,5,0,4,4,1,4,2,3,0,0,1,0,1,3,1,0,0,2,4,3
97,1,1,3,4,0,2,0,1,1,1,1,4,5,2,4,1,2,5,5,5,2,3,5,1,4,2,2,3,4,2,4,1,2,4,5,4,3,3,3,5,2,2,0,4,0,0,5,2,4,2,1,5,2,0,1,2,0,3,0,1,4,3,5,0
98,0,1,2,1,4,1,3,5,2,5,1,3,5,5,2,1,0,3,5,4,2,3,1,2,2,3,4,0,0,5,2,5,2,1,2,5,1,3,3,5,4,1,4,0,5,2,5,1,2,1,0,2,4,2,4,4,1,1,5,0,0,3,5,5
99,0,2,2,0,1,0,2,3,5,5,5,4,5,5,4,5,3,5,4,1,1,5,1,5,0,3,3,1,2,0,3,5,1,4,3,4,4,4,1,5,3,1,2,4,3,4,2,4,3,5,5,1,2,5,5,3,4,2,4,5,4,1,5,0
100,0,2,5,4,1,1,3,5,0,2,0,0,3,3,2,2,2,0,1,5,1,4,5,1,4,0,1,2,4,1,1,0,0,2,2,4,4,0,1,5,5,4,1,0,3,0,5,5,5,5,2,5,3,0,1,3,3,3,4,0,2,5,3,4
101,5,4,2,2,4,5,1,2,1,3,0,2,4,0,3,4,2,2,0,4,2,2,4,5,5,5,3,4,3,5,3,5,4,2,4,0,1,2,5,2,1,1,0,4,4,1,4,4,1,0,3,1,1,4,4,1,1,4,4,5,1,3,2,5
102,0,4,5,4,1,0,3,4,0,2,0,5,2,3,1,4,1,2,4,1,2,4,5,0,3,2,2,1,5,2,3,0,0,0,5,4,1,2,4,1,5,1,2,3,3,4,0,2,5,0,2,1,5,0,5,4,2,1,3,3,4,5,2,5
103,3,3,3,5,1,1,3,5,1,5,2,0,5,5,4,0,5,1,0,2,0,1,1,3,0,0,4,4,5,2,3,5,1,3,5,1,2,5,2,4,0,2,5,4,1,2,1,0,2,0,2,0,1,1,4,2,1,2,0,1,1,1,1,3
104,4,4,0,3,3,1,2,5,5,4,0,5,0,3,2,3,2,1,4,1,2,1,5,0,4,1,2,2,0,1,0,5,5,4,3,5,4,5,4,1,4,5,5,5,4,0,4,4,2,1,4,4,5,4,0,4,5,4,2,3,4,3,2,1
